customer_id,customer_segment,acquisition_channel,location,age,gender,total_orders,total_units,total_revenue,net_revenue,total_cost,gross_profit,gross_margin_percentage,average_order_value,first_purchase_date,last_purchase_date,recency_days,customer_lifespan_days,total_interactions,views,clicks,add_to_carts,email_opens,channels_used,interaction_types_used,has_interaction_history,annualized_order_frequency,click_rate,add_to_cart_rate,email_open_share,future_orders,future_revenue,churned,churn_probability,churn_probability_percentage,predicted_churn,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_score,rfm_total_score,rfm_segment,churn_risk,customer_value,expected_revenue_at_risk,expected_profit_at_risk,retention_score,retention_priority,retention_action,retention_rank
C00573,low,referral,Bangalore,25,male,1,1,41602,41185.98,27461.49,13724.490000000002,33.32,41185.98,2025-01-22,2025-01-22,343,0,41,22,9,4,6,3,4,1,1.0,0.2195,0.0976,0.1463,0,0.0,1,0.9878650793650796,98.78650793650796,1,1,1,1,111,3,Hibernating,High Risk,13724.490000000002,41097.16303174604,13557.944403095242,0.9330607787460636,High,Targeted retention campaign,11
C00566,low,ads,Bhubaneswar,24,male,4,5,113855,102943.91,82201.03,20742.87999999999,20.15,25735.98,2024-04-28,2024-06-09,570,42,23,11,6,5,1,3,4,1,34.76,0.2609,0.2174,0.0435,0,0.0,1,0.9612209465371232,96.12209465371232,1,1,2,2,122,5,Hibernating,High Risk,20742.87999999999,109439.81086798415,19938.49074750595,0.9308690962288176,High,Targeted retention campaign,12
C00023,low,organic,Delhi,41,female,1,2,33550,31537.0,20262.08,11274.919999999998,35.75,31537.0,2025-02-24,2025-02-24,310,0,9,3,4,2,0,2,3,1,1.0,0.4444,0.2222,0.0,0,0.0,1,0.9924930555555556,99.24930555555557,1,1,1,1,111,3,Hibernating,High Risk,11274.919999999998,33298.14201388889,11190.279801944444,0.9289729434031706,High,Targeted retention campaign,13
C00587,low,organic,Hyderabad,35,female,2,4,134204,126956.16999999998,105991.54,20964.62999999999,16.51,63478.08,2025-11-23,2025-12-14,17,21,4,0,2,2,0,2,2,1,34.76,0.5,0.5,0.0,0,0.0,1,0.9549595404595408,95.49595404595406,1,3,1,2,312,6,Needs Attention,High Risk,20964.62999999999,128159.3901678322,20020.37343070429,0.9272588422157516,High,Targeted retention campaign,14
C00040,low,ads,Ahmedabad,27,female,2,4,121068,110776.2,79460.98999999999,31315.210000000006,28.27,55388.1,2025-12-02,2025-12-24,7,22,6,3,1,2,0,2,3,1,33.18,0.1667,0.3333,0.0,0,0.0,1,0.9315684523809524,93.15684523809526,1,4,1,2,412,7,Recent Customers,High Risk,31315.210000000006,112783.12939285715,29172.261715684534,0.9266897774422674,High,Targeted retention campaign,15
C00546,low,referral,Mumbai,30,male,2,5,31440,30913.32,21259.9,9653.419999999998,31.23,15456.66,2024-08-08,2024-08-27,491,19,13,4,6,0,3,3,3,1,38.42,0.4615,0.0,0.2308,0,0.0,1,0.9942688492063492,99.42688492063492,1,1,1,1,111,3,Hibernating,High Risk,9653.419999999998,31259.812619047618,9598.094794305553,0.9245489817331672,High,Targeted retention campaign,16
C01138,low,organic,Bhubaneswar,33,male,7,18,128286,120963.0,87645.92,33317.08,27.54,17280.43,2024-01-17,2025-10-15,77,637,124,63,27,25,9,3,4,1,4.01,0.2177,0.2016,0.0726,0,0.0,1,0.9243144433181202,92.43144433181202,1,1,2,2,122,5,Hibernating,High Risk,33317.08,118576.60267550836,30795.45825318528,0.924274198132038,High,Targeted retention campaign,17
C00529,low,organic,Ahmedabad,29,male,2,6,61530,57506.13,44825.97,12680.159999999996,22.05,28753.06,2025-06-21,2025-07-05,179,14,20,7,8,4,1,3,4,1,52.14,0.4,0.2,0.05,0,0.0,1,0.977907647907648,97.7907647907648,1,1,1,2,112,4,Hibernating,High Risk,12680.159999999996,60170.65757575759,12400.02544069264,0.9238932553043556,High,Targeted retention campaign,18
C00927,low,referral,Bangalore,22,male,2,5,94247,85942.24,71330.84000000001,14611.399999999998,17.0,42971.12,2025-01-01,2025-01-22,343,21,26,10,7,5,4,3,4,1,34.76,0.2692,0.1923,0.1538,0,0.0,1,0.9677811147186148,96.77811147186148,1,1,1,2,112,4,Hibernating,High Risk,14611.399999999998,91210.46671888528,14140.636979599569,0.9225154818379234,High,Targeted retention campaign,19
C01085,low,organic,Ahmedabad,42,female,3,6,59870,57238.9,45398.16,11840.739999999998,20.69,19079.63,2024-06-12,2025-03-27,279,288,48,24,7,11,6,3,4,1,3.8,0.1458,0.2292,0.125,0,0.0,1,0.9765356110392872,97.65356110392874,1,1,1,2,112,4,Hibernating,High Risk,11840.739999999998,58465.187032922135,11562.904271057329,0.920570065727362,High,Targeted retention campaign,20
C00058,low,referral,Mumbai,44,male,3,6,149476,143158.32,105344.23,37814.08999999999,26.41,47719.44,2025-05-20,2025-10-21,71,154,71,36,18,10,7,3,4,1,7.11,0.2535,0.1408,0.0986,0,0.0,1,0.9113836926961928,91.13836926961928,1,1,1,2,112,4,Hibernating,High Risk,37814.08999999999,136229.98884945613,34463.14498014617,0.9205405493420344,High,Targeted retention campaign,21
C00060,low,ads,Pune,54,male,1,2,56226,52852.44,37689.18,15163.259999999997,28.69,52852.44,2025-02-01,2025-02-01,333,0,69,35,13,13,8,3,4,1,1.0,0.1884,0.1884,0.1159,0,0.0,1,0.9621839133089134,96.21839133089134,1,1,1,2,112,4,Hibernating,High Risk,15163.259999999997,54099.75270970696,14589.844845320513,0.9202757101028004,High,Targeted retention campaign,22
C00881,low,organic,Hyderabad,26,female,1,2,81416,74088.56,56032.88,18055.68,24.37,74088.56,2025-12-01,2025-12-01,30,0,4,2,2,0,0,2,2,1,1.0,0.5,0.0,0.0,0,0.0,1,0.9504011347951564,95.04011347951564,1,2,1,2,212,5,Hibernating,High Risk,18055.68,77377.85879048247,17160.138761498212,0.9190097929920522,High,Targeted retention campaign,23
C00600,low,organic,Kolkata,41,male,1,1,33217,32884.83,25227.08,7657.75,23.29,32884.83,2024-03-18,2024-03-18,653,0,8,5,1,1,1,3,4,1,1.0,0.125,0.125,0.125,0,0.0,1,0.9972310606060608,99.72310606060609,1,1,1,1,111,3,Hibernating,High Risk,7657.75,33125.02414015152,7636.546154356061,0.9181496226976074,High,Targeted retention campaign,24
C00588,low,organic,Delhi,58,female,1,2,47274,45383.04,36716.0,8667.04,19.1,45383.04,2024-02-23,2024-02-23,677,0,14,6,3,3,2,3,4,1,1.0,0.2143,0.2143,0.1429,0,0.0,1,0.9891666666666667,98.91666666666669,1,1,1,1,111,3,Hibernating,High Risk,8667.04,46761.865000000005,8573.147066666668,0.9174486534164104,High,Targeted retention campaign,25
