customer_id,customer_segment,acquisition_channel,location,age,gender,total_orders,total_units,total_revenue,net_revenue,total_cost,gross_profit,gross_margin_percentage,average_order_value,first_purchase_date,last_purchase_date,recency_days,customer_lifespan_days,total_interactions,views,clicks,add_to_carts,email_opens,channels_used,interaction_types_used,has_interaction_history,annualized_order_frequency,click_rate,add_to_cart_rate,email_open_share,future_orders,future_revenue,churned
C00906,high,organic,Mumbai,51,female,83,176,1750875,1609508.32,1268234.1400000001,341274.17999999993,21.2,19391.67,2024-02-04,2025-12-19,12,684,713,335,191,117,70,3,4,1,44.29,0.2679,0.1641,0.0982,7,50567.159999999996,0
C00956,high,organic,Bhubaneswar,24,male,89,188,1714602,1589550.59,1206719.03,382831.55999999994,24.08,17860.12,2024-01-12,2025-12-28,3,716,754,372,213,88,81,3,4,1,45.37,0.2825,0.1167,0.1074,7,29435.609999999997,0
C00899,high,ads,Hyderabad,34,female,84,166,1709267,1559158.56,1190742.08,368416.48,23.63,18561.41,2024-03-31,2025-12-25,6,634,627,317,169,88,53,3,4,1,48.36,0.2695,0.1404,0.0845,11,291526.36,0
C00561,high,organic,Delhi,40,female,68,138,1688299,1569528.8499999999,1215885.87,353642.98,22.53,23081.31,2024-06-25,2025-12-23,8,546,586,301,152,88,45,3,4,1,45.46,0.2594,0.1502,0.0768,11,190500.43,0
C00599,high,organic,Pune,22,male,97,182,1683689,1550251.3,1193790.1300000001,356461.1699999999,22.99,15981.97,2024-01-19,2025-12-28,3,709,730,386,184,104,56,3,4,1,49.94,0.2521,0.1425,0.0767,13,108115.81,0
C00874,high,organic,Delhi,31,female,80,167,1655304,1530990.37,1137084.34,393906.02999999997,25.73,19137.38,2024-02-13,2025-12-20,11,676,706,366,180,96,64,3,4,1,43.2,0.255,0.136,0.0907,8,184584.63999999998,0
C00034,high,organic,Jaipur,27,male,68,142,1649204,1506282.85,1156841.93,349440.9199999999,23.2,22151.22,2024-03-05,2025-12-25,6,660,653,340,159,92,62,3,4,1,37.61,0.2435,0.1409,0.0949,9,294393.75,0
C00518,high,organic,Mumbai,28,female,80,146,1637284,1503641.64,1158607.29,345034.3499999999,22.95,18795.52,2024-03-09,2025-12-19,12,650,679,326,158,107,88,3,4,1,44.92,0.2327,0.1576,0.1296,13,223054.41999999998,0
C00913,high,ads,Jaipur,29,male,73,153,1634827,1501316.59,1164486.3,336830.29,22.44,20565.98,2024-04-29,2025-12-19,12,599,565,260,132,110,63,3,4,1,44.48,0.2336,0.1947,0.1115,8,40813.159999999996,0
C00117,high,referral,Mumbai,46,female,75,161,1602819,1462466.33,1154571.93,307894.39999999997,21.05,19499.55,2024-02-05,2025-12-22,9,686,644,325,147,108,64,3,4,1,39.91,0.2283,0.1677,0.0994,9,73106.25,0
C00883,high,organic,Jaipur,39,male,88,163,1600041,1465097.07,1171738.57,293358.49999999994,20.02,16648.83,2024-01-27,2025-12-14,17,687,681,335,178,94,74,3,4,1,46.75,0.2614,0.138,0.1087,12,233017.35,0
C01100,high,ads,Mumbai,64,male,96,186,1591139,1494471.41,1124665.18,369806.2299999999,24.74,15567.41,2024-01-15,2025-12-30,1,715,717,359,180,98,80,3,4,1,49.01,0.251,0.1367,0.1116,10,74763.5,0
C00614,high,ads,Mumbai,41,other,61,133,1589162,1446321.64,1117433.58,328888.05999999994,22.74,23710.19,2024-06-15,2025-12-27,4,560,543,275,130,82,56,3,4,1,39.76,0.2394,0.151,0.1031,14,294361.46,0
C00582,high,organic,Chennai,40,female,88,170,1584511,1446791.6099999999,1134804.56,311987.05,21.56,16440.81,2024-05-30,2025-12-30,1,579,609,295,144,111,59,3,4,1,55.47,0.2365,0.1823,0.0969,13,187621.19,0
C01110,high,organic,Hyderabad,37,female,59,122,1583517,1437408.27,1167186.24,270222.02999999997,18.8,24362.85,2024-08-09,2025-12-31,0,509,488,240,128,70,50,3,4,1,42.31,0.2623,0.1434,0.1025,9,112085.12,0
C00357,high,organic,Bhubaneswar,55,female,61,123,1579968,1483576.9,1133945.22,349631.67999999993,23.57,24320.93,2024-04-16,2025-12-23,8,616,576,294,153,81,48,3,4,1,36.14,0.2656,0.1406,0.0833,13,207492.86,0
C00814,high,referral,Delhi,28,female,53,103,1572434,1458473.21,1114836.81,343636.39999999997,23.56,27518.36,2024-05-06,2025-12-30,1,603,565,263,142,89,71,3,4,1,32.08,0.2513,0.1575,0.1257,12,364583.74,0
C00350,high,ads,Pune,39,female,80,162,1560309,1476823.0799999998,1103418.29,373404.7899999999,25.28,18460.29,2024-02-06,2025-11-26,35,659,712,386,175,93,58,3,4,1,44.31,0.2458,0.1306,0.0815,13,199083.56,0
C00763,high,ads,Jaipur,41,female,85,161,1541978,1406727.42,1086475.24,320252.17999999993,22.77,16549.73,2024-02-03,2025-12-06,25,672,662,313,174,112,63,3,4,1,46.17,0.2628,0.1692,0.0952,11,400826.27999999997,0
C00389,high,organic,Ahmedabad,21,female,86,164,1534281,1373812.19,1059980.9,313831.29,22.84,15974.56,2024-02-11,2025-12-25,6,683,686,344,158,120,64,3,4,1,45.96,0.2303,0.1749,0.0933,4,48795.56,0
C01046,high,ads,Jaipur,48,female,66,121,1519586,1325620.96,1078260.25,247360.70999999993,18.66,20085.17,2024-06-03,2025-12-26,5,571,582,288,151,75,68,3,4,1,42.19,0.2595,0.1289,0.1168,11,193613.28999999998,0
C01222,high,organic,Delhi,46,male,85,167,1516171,1363825.53,1070635.28,293190.24999999994,21.5,16045.01,2024-03-30,2025-12-27,4,637,630,308,151,118,53,3,4,1,48.7,0.2397,0.1873,0.0841,10,37931.11,0
C00725,high,ads,Ahmedabad,22,female,77,149,1510336,1382622.7,1055095.18,327527.51999999996,23.69,17956.14,2024-03-11,2025-12-27,4,656,622,315,151,94,62,3,4,1,42.84,0.2428,0.1511,0.0997,18,359167.1,0
C00852,high,referral,Bangalore,18,male,89,171,1510224,1407996.97,1074242.87,333754.1,23.7,15820.19,2024-04-30,2025-12-28,3,607,597,315,148,90,44,3,4,1,53.52,0.2479,0.1508,0.0737,13,192583.13,0
C01107,high,organic,Kolkata,43,male,55,110,1508248,1412808.49,1077984.54,334823.94999999995,23.7,25687.43,2024-10-28,2025-12-11,20,409,458,228,120,64,46,3,4,1,49.08,0.262,0.1397,0.1004,5,177674.32,0
C01098,high,referral,Mumbai,27,female,90,182,1506135,1391924.33,1078038.67,313885.66,22.55,15465.83,2024-04-02,2025-12-28,3,635,649,301,197,94,57,3,4,1,51.73,0.3035,0.1448,0.0878,11,199240.05,0
C01143,high,referral,Mumbai,26,male,59,119,1485612,1408799.57,1044681.93,364117.63999999996,25.85,23877.96,2024-11-10,2025-12-19,12,404,420,192,111,75,42,3,4,1,53.3,0.2643,0.1786,0.1,8,260047.69,0
C01126,high,organic,Mumbai,46,female,79,156,1482861,1364385.59,1056120.71,308264.87999999995,22.59,17270.7,2024-01-30,2025-12-29,2,699,679,331,164,93,91,3,4,1,41.25,0.2415,0.137,0.134,10,185650.46,0
C00097,high,organic,Mumbai,26,male,74,157,1474307,1368866.68,1053382.07,315484.6099999999,23.05,18498.2,2024-06-15,2025-12-31,0,564,575,289,153,87,46,3,4,1,47.89,0.2661,0.1513,0.08,11,270262.27999999997,0
C00048,high,organic,Delhi,36,male,76,148,1460807,1353317.27,1037710.01,315607.25999999995,23.32,17806.81,2024-02-01,2025-12-22,9,690,671,330,169,101,71,3,4,1,40.2,0.2519,0.1505,0.1058,12,191660.0,0
C00174,high,organic,Mumbai,39,male,68,137,1456459,1310510.67,1017118.4400000001,293392.23,22.39,19272.22,2024-07-15,2025-12-19,12,522,536,259,130,90,57,3,4,1,47.55,0.2425,0.1679,0.1063,11,239465.08,0
C00945,high,ads,Bangalore,40,male,63,119,1454630,1371803.23,1062258.3,309544.93,22.56,21774.65,2024-05-20,2025-12-22,9,581,578,287,134,90,67,3,4,1,39.58,0.2318,0.1557,0.1159,11,175222.8,0
C00595,high,organic,Delhi,48,other,67,131,1453829,1314890.07,1037482.98,277407.0899999999,21.1,19625.22,2024-08-12,2025-12-30,1,505,503,248,120,79,56,3,4,1,48.43,0.2386,0.1571,0.1113,8,232253.55,0
C01211,high,organic,Bhubaneswar,39,female,74,150,1442214,1329908.9,1054250.05,275658.85,20.73,17971.74,2024-05-01,2025-12-07,24,585,599,303,149,90,57,3,4,1,46.17,0.2487,0.1503,0.0952,17,306670.38999999996,0
C00723,high,organic,Bangalore,18,male,79,157,1439242,1302322.82,1011281.6,291041.2199999999,22.35,16485.1,2024-05-01,2025-12-17,14,595,615,300,152,102,61,3,4,1,48.46,0.2472,0.1659,0.0992,11,253784.16,0
C00698,high,ads,Delhi,37,female,84,162,1437167,1348155.23,987675.01,360480.22,26.74,16049.47,2024-04-01,2025-11-23,38,601,616,317,153,85,61,3,4,1,51.01,0.2484,0.138,0.099,10,97574.55,0
C00005,high,referral,Hyderabad,37,female,87,171,1436606,1336938.0,1006856.5900000001,330081.4099999999,24.69,15367.1,2024-03-17,2025-12-23,8,646,670,351,157,103,59,3,4,1,49.16,0.2343,0.1537,0.0881,8,219372.09999999998,0
C00481,high,ads,Jaipur,36,female,78,147,1433005,1327614.83,997201.11,330413.72,24.89,17020.7,2024-01-29,2025-11-05,56,646,636,327,142,101,66,3,4,1,44.07,0.2233,0.1588,0.1038,12,346577.41000000003,0
C00091,high,ads,Ahmedabad,25,female,80,148,1432085,1310264.67,1017351.12,292913.54999999993,22.36,16378.31,2024-03-24,2025-12-28,3,644,682,352,159,110,61,3,4,1,45.34,0.2331,0.1613,0.0894,14,443551.56999999995,0
C00092,high,ads,Delhi,25,male,56,108,1419682,1317484.3699999999,1013084.0700000001,304400.29999999993,23.1,23526.51,2024-08-12,2025-12-23,8,498,508,253,137,69,49,3,4,1,41.04,0.2697,0.1358,0.0965,9,128853.68,0
C00702,high,organic,Bangalore,34,female,73,137,1387824,1284113.41,983792.24,300321.17,23.39,17590.59,2024-06-26,2025-12-28,3,550,593,301,138,79,75,3,4,1,48.45,0.2327,0.1332,0.1265,10,179038.03,0
C00857,high,ads,Bhubaneswar,35,female,83,170,1385444,1273558.3499999999,962823.26,310735.08999999997,24.4,15344.08,2024-04-22,2025-12-19,12,606,634,292,174,105,63,3,4,1,49.99,0.2744,0.1656,0.0994,17,217553.99,0
C01089,high,organic,Pune,44,male,83,157,1376545,1255288.6,979241.3,276047.3,21.99,15123.96,2024-02-21,2025-12-17,14,665,674,347,167,96,64,3,4,1,45.56,0.2478,0.1424,0.095,10,186588.25,0
C00012,high,ads,Chennai,25,female,60,122,1374526,1263218.74,990586.4,272632.34,21.58,21053.65,2024-12-08,2025-12-27,4,384,440,240,101,62,37,3,4,1,57.03,0.2295,0.1409,0.0841,10,127260.3,0
C00495,high,referral,Ahmedabad,18,male,67,132,1372183,1287027.5899999999,940976.22,346051.36999999994,26.89,19209.37,2024-06-19,2025-12-16,15,545,547,279,138,80,50,3,4,1,44.87,0.2523,0.1463,0.0914,11,197953.0,0
C01113,high,ads,Ahmedabad,45,female,55,102,1366689,1222505.25,974815.8400000001,247689.40999999992,20.26,22227.37,2024-08-19,2025-12-24,7,492,489,249,123,69,48,3,4,1,40.8,0.2515,0.1411,0.0982,13,265150.04,0
C00896,high,organic,Kolkata,44,female,76,146,1348458,1241472.66,957775.3,283697.3599999999,22.85,16335.17,2024-02-11,2025-12-28,3,686,653,332,167,98,56,3,4,1,40.44,0.2557,0.1501,0.0858,7,108267.22,0
C00897,high,referral,Mumbai,43,male,55,109,1341139,1194323.47,940052.98,254270.48999999993,21.29,21714.97,2024-10-08,2025-12-24,7,442,480,249,121,67,43,3,4,1,45.42,0.2521,0.1396,0.0896,11,74149.91,0
C00448,high,ads,Pune,35,female,65,132,1333202,1187990.6199999999,923129.7000000001,264860.9199999999,22.29,18276.78,2024-05-01,2025-12-31,0,609,610,315,149,87,59,3,4,1,38.96,0.2443,0.1426,0.0967,10,58306.55,0
C00993,high,organic,Bhubaneswar,43,male,62,128,1332870,1204987.43,934261.23,270726.19999999995,22.47,19435.28,2024-06-25,2025-12-22,9,545,532,263,130,91,48,3,4,1,41.52,0.2444,0.1711,0.0902,10,256899.67,0
C01208,high,organic,Hyderabad,20,female,69,139,1331751,1253851.59,929369.0,324482.58999999997,25.88,18171.76,2024-06-24,2025-12-30,1,554,518,245,131,92,50,3,4,1,45.46,0.2529,0.1776,0.0965,10,83319.55,0
C00323,high,ads,Bangalore,18,male,54,110,1325876,1228048.73,954813.92,273234.80999999994,22.25,22741.64,2024-08-20,2025-12-30,1,497,482,235,132,66,49,3,4,1,39.66,0.2739,0.1369,0.1017,4,66254.90000000001,0
C00541,high,organic,Kolkata,26,female,78,156,1324981,1220529.92,935886.64,284643.27999999997,23.32,15647.82,2024-04-12,2025-12-03,28,600,670,344,133,113,80,3,4,1,47.45,0.1985,0.1687,0.1194,13,430370.61,0
C00027,high,ads,Bhubaneswar,41,female,55,104,1319347,1224181.27,946595.79,277585.48,22.68,22257.84,2024-06-24,2025-12-31,0,555,598,300,170,71,57,3,4,1,36.17,0.2843,0.1187,0.0953,18,291374.1,0
C00363,high,ads,Mumbai,18,female,55,115,1306750,1209230.8399999999,929929.14,279301.69999999995,23.1,21986.02,2024-09-13,2025-12-30,1,473,441,205,124,69,43,3,4,1,42.44,0.2812,0.1565,0.0975,13,334594.25,0
C00064,high,ads,Pune,22,male,76,145,1301747,1191019.8699999999,936976.42,254043.44999999995,21.33,15671.31,2024-02-08,2025-12-18,13,679,678,339,174,107,58,3,4,1,40.85,0.2566,0.1578,0.0855,7,93179.12,0
C00414,high,referral,Bhubaneswar,37,male,73,132,1295040,1210540.2,928250.75,282289.44999999995,23.32,16582.74,2024-03-01,2025-12-25,6,664,661,331,175,90,65,3,4,1,40.13,0.2648,0.1362,0.0983,10,413573.44,0
C00557,high,organic,Delhi,21,male,60,117,1248612,1155478.83,884343.77,271135.06,23.47,19257.98,2024-12-21,2025-12-25,6,369,424,201,116,70,37,3,4,1,59.35,0.2736,0.1651,0.0873,7,210543.47999999998,0
C00508,high,organic,Bhubaneswar,43,female,61,119,1246911,1149701.02,878957.0900000001,270743.93,23.55,18847.56,2024-06-22,2025-12-31,0,557,485,236,112,78,59,3,4,1,39.97,0.2309,0.1608,0.1216,19,386391.29,0
C00197,high,referral,Bangalore,19,female,58,115,1234984,1108534.38,869565.0,238969.38,21.56,19112.66,2024-08-23,2025-12-30,1,494,486,263,106,79,38,3,4,1,42.85,0.2181,0.1626,0.0782,7,204893.09,0
C00397,high,referral,Hyderabad,37,female,67,118,1226850,1130715.88,854255.57,276460.31,24.45,16876.36,2024-06-03,2025-12-24,7,569,567,281,136,87,63,3,4,1,42.98,0.2399,0.1534,0.1111,15,137689.38,0
C00295,high,referral,Hyderabad,43,female,71,147,1226015,1096010.33,848182.52,247827.80999999997,22.61,15436.77,2024-05-05,2025-11-19,42,563,613,296,144,92,81,3,4,1,46.03,0.2349,0.1501,0.1321,4,191094.07,0
C00324,high,referral,Delhi,45,male,29,67,1222929,1128753.43,860072.25,268681.18,23.8,38922.53,2025-01-06,2025-12-16,15,344,329,168,88,42,31,3,4,1,30.77,0.2675,0.1277,0.0942,7,101315.75,0
C00320,high,ads,Bangalore,38,male,74,151,1201718,1099326.92,847699.66,251627.25999999998,22.89,14855.77,2024-01-24,2025-12-31,0,707,712,360,178,105,69,3,4,1,38.2,0.25,0.1475,0.0969,5,163316.18,0
C01042,high,organic,Bangalore,48,other,82,163,1187583,1120627.3,832572.67,288054.62999999995,25.7,13666.19,2024-02-07,2025-12-25,6,687,725,357,190,101,77,3,4,1,43.57,0.2621,0.1393,0.1062,10,107486.77,0
C00093,high,referral,Hyderabad,32,male,67,132,1179463,1121437.08,843374.04,278063.04,24.8,16737.87,2024-07-08,2025-12-12,19,522,512,267,124,65,56,3,4,1,46.85,0.2422,0.127,0.1094,16,357892.27999999997,0
C00178,high,organic,Delhi,40,male,60,128,1168665,1097667.97,831930.16,265737.81,24.21,18294.47,2024-10-18,2025-12-31,0,439,485,221,123,90,51,3,4,1,49.89,0.2536,0.1856,0.1052,15,209891.25,0
C00828,high,ads,Bangalore,33,female,68,133,1166630,1042994.01,833197.5700000001,209796.43999999994,20.11,15338.15,2024-04-06,2025-12-16,15,619,589,304,134,91,60,3,4,1,40.1,0.2275,0.1545,0.1019,11,151627.79,0
C00978,high,referral,Jaipur,30,male,64,134,1158465,1047158.86,816667.0700000001,230491.78999999995,22.01,16361.86,2024-05-31,2025-12-21,10,569,554,272,144,74,64,3,4,1,41.05,0.2599,0.1336,0.1155,9,204867.66,0
C01185,high,organic,Ahmedabad,39,female,65,139,1155123,1079487.76,789418.9,290068.86,26.87,16607.5,2024-03-20,2025-11-23,38,613,615,309,173,80,53,3,4,1,38.7,0.2813,0.1301,0.0862,10,67368.31999999999,0
C01120,high,organic,Kolkata,42,male,84,172,1153246,1055966.23,808027.59,247938.63999999996,23.48,12571.03,2024-05-17,2025-12-31,0,593,605,313,153,84,55,3,4,1,51.7,0.2529,0.1388,0.0909,14,192777.24,0
C00619,high,ads,Bhubaneswar,42,female,43,85,1151527,1066249.23,834847.3,231401.92999999993,21.7,24796.49,2024-12-31,2025-12-29,2,363,354,182,91,56,25,3,4,1,43.24,0.2571,0.1582,0.0706,12,55073.42,0
C00235,high,ads,Ahmedabad,42,male,52,101,1150302,1064023.6199999999,827465.12,236558.4999999999,22.23,20461.99,2024-10-11,2025-12-24,7,439,458,221,126,67,44,3,4,1,43.23,0.2751,0.1463,0.0961,17,250122.93,0
C00868,high,ads,Pune,40,male,45,101,1147551,989193.66,807507.23,181686.42999999996,18.37,21982.08,2024-11-24,2025-12-27,4,398,366,178,95,58,35,3,4,1,41.27,0.2596,0.1585,0.0956,9,268250.91,0
C00471,high,referral,Jaipur,35,male,60,110,1146618,1031737.62,804812.28,226925.34,21.99,17195.63,2024-07-22,2025-12-27,4,523,556,286,140,74,56,3,4,1,41.87,0.2518,0.1331,0.1007,12,249982.71000000002,0
C00349,high,referral,Ahmedabad,32,male,66,130,1140457,1054488.6,797216.64,257271.96,24.4,15977.1,2024-05-05,2025-12-24,7,598,593,300,148,87,58,3,4,1,40.28,0.2496,0.1467,0.0978,9,72582.84,0
C00652,high,referral,Kolkata,18,male,63,122,1125683,1035711.2,807669.97,228041.22999999995,22.02,16439.86,2024-07-10,2025-11-20,41,498,564,290,146,72,56,3,4,1,46.17,0.2589,0.1277,0.0993,10,83810.2,0
C01094,high,ads,Ahmedabad,33,female,63,121,1122354,1051572.99,782831.9400000001,268741.05,25.56,16691.63,2024-04-08,2025-12-29,2,630,596,311,146,79,60,3,4,1,36.5,0.245,0.1326,0.1007,11,142991.21,0
C00293,high,organic,Chennai,47,male,67,130,1112983,1021383.51,792819.49,228564.01999999996,22.38,15244.53,2024-09-12,2025-12-27,4,471,507,263,116,82,46,3,4,1,51.92,0.2288,0.1617,0.0907,8,172622.44,0
C00189,high,referral,Mumbai,27,female,57,110,1107345,1014730.29,774253.81,240476.47999999998,23.7,17802.29,2024-08-12,2025-11-09,52,454,514,254,140,68,52,3,4,1,45.83,0.2724,0.1323,0.1012,15,619120.13,0
C00926,high,organic,Mumbai,38,female,56,101,1105511,1008155.1,787327.91,220827.18999999997,21.9,18002.77,2024-10-18,2025-12-27,4,435,445,221,104,77,43,3,4,1,46.99,0.2337,0.173,0.0966,10,225425.84,0
C00795,high,ads,Pune,26,male,61,127,1105313,989166.82,791078.0,198088.81999999998,20.03,16215.85,2024-09-24,2025-12-31,0,463,474,234,119,81,40,3,4,1,48.09,0.2511,0.1709,0.0844,10,176573.11,0
C00277,high,organic,Hyderabad,24,male,62,121,1072104,992052.57,771191.53,220861.03999999998,22.26,16000.85,2024-08-20,2025-12-30,1,497,502,253,121,65,63,3,4,1,45.53,0.241,0.1295,0.1255,13,236326.13999999998,0
C00493,high,ads,Jaipur,38,male,48,99,1071904,977045.77,767665.4400000001,209380.33,21.43,20355.12,2024-09-22,2025-12-22,9,456,489,240,130,69,50,3,4,1,38.42,0.2658,0.1411,0.1022,13,422062.66000000003,0
C00856,high,organic,Jaipur,32,male,61,115,1071842,991110.86,752891.97,238218.88999999998,24.04,16247.72,2024-12-17,2025-12-08,23,356,373,206,82,52,33,3,4,1,62.54,0.2198,0.1394,0.0885,16,398405.66,0
C00230,high,organic,Delhi,35,male,60,117,1070493,985565.71,753886.73,231678.97999999995,23.51,16426.1,2024-07-27,2025-12-14,17,505,524,254,147,69,54,3,4,1,43.37,0.2805,0.1317,0.1031,6,129091.05,0
C00626,high,organic,Jaipur,36,male,44,95,1065652,1017627.66,770563.1,247064.55999999997,24.28,23127.9,2024-11-10,2025-12-24,7,409,405,194,108,58,45,3,4,1,39.27,0.2667,0.1432,0.1111,11,278380.63,0
C00380,high,referral,Chennai,38,male,49,101,1059762,969787.75,746232.4400000001,223555.30999999997,23.05,19791.59,2024-09-05,2025-12-01,30,452,474,245,104,66,59,3,4,1,39.57,0.2194,0.1392,0.1245,7,71558.25,0
C00478,high,ads,Chennai,45,female,50,97,1059126,982998.23,753708.48,229289.74999999994,23.33,19659.96,2024-10-17,2025-12-12,19,421,396,192,104,61,39,3,4,1,43.35,0.2626,0.154,0.0985,6,173757.57,0
C00327,high,ads,Kolkata,33,male,52,103,1051961,972075.08,764498.78,207576.29999999996,21.35,18693.75,2024-10-11,2025-12-27,4,442,443,212,111,75,45,3,4,1,42.94,0.2506,0.1693,0.1016,10,113568.71,0
C00157,high,organic,Mumbai,24,male,56,114,1050633,984283.14,717727.6900000001,266555.45,27.08,17576.48,2024-09-08,2025-12-20,11,468,469,228,128,72,41,3,4,1,43.68,0.2729,0.1535,0.0874,11,175058.22,0
C01047,high,ads,Bangalore,30,male,57,114,1023554,904155.7,721840.5,182315.19999999998,20.16,15862.38,2024-08-23,2025-11-11,50,445,460,240,113,59,48,3,4,1,46.75,0.2457,0.1283,0.1043,10,253684.33,0
C00930,high,ads,Ahmedabad,33,other,42,85,1022684,952678.11,722844.83,229833.27999999997,24.12,22682.81,2025-01-18,2025-12-16,15,332,348,195,73,50,30,3,4,1,46.17,0.2098,0.1437,0.0862,7,128544.42,0
C00969,high,ads,Ahmedabad,20,female,61,130,1019290,933652.45,720152.83,213499.61999999997,22.87,15305.78,2024-10-29,2025-12-27,4,424,409,200,92,74,43,3,4,1,52.51,0.2249,0.1809,0.1051,14,302606.82,0
C00543,high,ads,Bangalore,47,female,75,141,1019015,935858.27,707375.29,228482.97999999998,24.41,12478.11,2024-04-13,2025-12-04,27,600,659,328,168,88,75,3,4,1,45.63,0.2549,0.1335,0.1138,16,226990.48,0
C00640,high,referral,Jaipur,21,female,63,125,1011447,949347.76,731088.99,218258.76999999996,22.99,15069.01,2024-06-25,2025-12-29,2,552,512,255,133,80,44,3,4,1,41.66,0.2598,0.1563,0.0859,12,170076.27,0
C00876,high,organic,Hyderabad,43,male,55,100,1002650,927420.76,709473.8200000001,217946.93999999997,23.5,16862.2,2024-08-15,2025-12-27,4,499,524,271,126,71,56,3,4,1,40.23,0.2405,0.1355,0.1069,7,180571.45,0
C00633,high,ads,Bhubaneswar,31,male,62,123,990698,897637.59,676511.32,221126.26999999996,24.63,14478.03,2024-06-27,2025-12-30,1,551,550,288,117,79,66,3,4,1,41.07,0.2127,0.1436,0.12,10,154593.19,0
C01146,high,organic,Jaipur,34,female,42,88,987912,904369.25,720975.97,183393.27999999997,20.28,21532.6,2025-03-25,2025-12-31,0,281,302,143,83,48,28,3,4,1,54.56,0.2748,0.1589,0.0927,12,204574.06,0
C00411,high,referral,Delhi,31,female,49,90,986739,930351.37,703141.1900000001,227210.18,24.42,18986.76,2024-11-02,2025-12-27,4,420,410,201,102,72,35,3,4,1,42.58,0.2488,0.1756,0.0854,13,252367.86,0
C00551,high,organic,Bhubaneswar,37,female,52,104,982854,919244.23,698003.69,221240.53999999998,24.07,17677.77,2024-10-05,2025-12-23,8,444,449,214,109,70,56,3,4,1,42.75,0.2428,0.1559,0.1247,10,172189.68,0
C00469,high,organic,Hyderabad,26,female,75,157,976632,874250.63,671684.68,202565.95,23.17,11656.68,2024-04-14,2025-12-23,8,618,578,296,144,79,59,3,4,1,44.3,0.2491,0.1367,0.1021,11,320047.26,0
C00515,high,organic,Ahmedabad,22,male,53,104,974320,895635.94,677921.71,217714.22999999995,24.31,16898.79,2024-11-07,2025-12-31,0,419,449,227,109,64,49,3,4,1,46.17,0.2428,0.1425,0.1091,8,74822.35,0
C00050,high,organic,Hyderabad,47,female,58,118,971065,899961.17,693141.27,206819.9,22.98,15516.57,2024-10-18,2025-12-30,1,438,437,210,109,64,54,3,4,1,48.33,0.2494,0.1465,0.1236,14,211358.19999999998,0
C00231,high,organic,Delhi,26,female,64,121,965654,887812.22,689944.59,197867.62999999998,22.29,13872.07,2024-07-16,2025-12-26,5,528,513,272,120,67,54,3,4,1,44.24,0.2339,0.1306,0.1053,12,121889.48,0
