interaction_id,customer_id,interaction_type,product_id,interaction_timestamp,channel,interaction_date,interaction_hour,interaction_month
88,C00001,email_open,P0010,2024-10-22,email,2024-10-22,0,2024-10
89,C00001,view,,2024-10-18,app,2024-10-18,0,2024-10
90,C00001,click,P0067,2024-10-04,web,2024-10-04,0,2024-10
91,C00001,email_open,,2024-10-15,email,2024-10-15,0,2024-10
92,C00001,view,,2024-11-20,web,2024-11-20,0,2024-11
93,C00001,view,,2024-11-08,app,2024-11-08,0,2024-11
94,C00001,view,,2024-11-06,app,2024-11-06,0,2024-11
95,C00001,view,,2024-11-05,web,2024-11-05,0,2024-11
96,C00001,view,P0011,2024-11-15,app,2024-11-15,0,2024-11
97,C00001,click,P0046,2024-11-27,web,2024-11-27,0,2024-11
98,C00001,view,P0080,2024-11-20,app,2024-11-20,0,2024-11
99,C00001,click,P0001,2024-11-02,web,2024-11-02,0,2024-11
100,C00001,email_open,P0006,2024-11-03,email,2024-11-03,0,2024-11
101,C00001,view,P0116,2024-11-09,app,2024-11-09,0,2024-11
102,C00001,view,P0045,2024-11-04,app,2024-11-04,0,2024-11
103,C00001,click,,2024-11-15,web,2024-11-15,0,2024-11
104,C00001,view,,2024-11-27,web,2024-11-27,0,2024-11
105,C00001,click,,2024-11-30,web,2024-11-30,0,2024-11
106,C00001,view,P0077,2024-11-28,web,2024-11-28,0,2024-11
107,C00001,click,P0118,2024-11-10,app,2024-11-10,0,2024-11
108,C00001,view,,2024-11-19,web,2024-11-19,0,2024-11
109,C00001,view,P0047,2024-12-29,app,2024-12-29,0,2024-12
110,C00001,add_to_cart,,2024-12-23,app,2024-12-23,0,2024-12
111,C00001,add_to_cart,P0028,2024-12-18,web,2024-12-18,0,2024-12
112,C00001,click,P0092,2024-12-19,web,2024-12-19,0,2024-12
113,C00001,view,P0064,2024-12-24,web,2024-12-24,0,2024-12
114,C00001,view,P0100,2024-12-06,web,2024-12-06,0,2024-12
115,C00001,view,P0031,2024-12-14,app,2024-12-14,0,2024-12
116,C00001,view,P0108,2024-12-09,app,2024-12-09,0,2024-12
117,C00001,add_to_cart,P0013,2024-12-23,app,2024-12-23,0,2024-12
118,C00001,email_open,P0007,2024-12-09,email,2024-12-09,0,2024-12
119,C00001,view,P0033,2024-12-01,web,2024-12-01,0,2024-12
120,C00001,view,P0004,2024-12-02,app,2024-12-02,0,2024-12
121,C00001,click,P0119,2025-01-05,web,2025-01-05,0,2025-01
122,C00001,view,,2025-01-04,web,2025-01-04,0,2025-01
123,C00001,click,,2025-01-06,web,2025-01-06,0,2025-01
124,C00001,view,,2025-01-29,app,2025-01-29,0,2025-01
125,C00001,view,P0020,2025-01-18,app,2025-01-18,0,2025-01
126,C00001,click,P0028,2025-01-12,app,2025-01-12,0,2025-01
127,C00001,add_to_cart,P0075,2025-01-13,web,2025-01-13,0,2025-01
128,C00001,click,P0016,2025-01-25,web,2025-01-25,0,2025-01
129,C00001,click,,2025-01-24,web,2025-01-24,0,2025-01
130,C00001,view,P0058,2025-01-29,web,2025-01-29,0,2025-01
131,C00001,view,P0072,2025-01-12,app,2025-01-12,0,2025-01
132,C00001,email_open,,2025-01-19,email,2025-01-19,0,2025-01
133,C00001,view,P0053,2025-01-28,app,2025-01-28,0,2025-01
134,C00001,email_open,,2025-01-25,email,2025-01-25,0,2025-01
135,C00001,add_to_cart,,2025-01-28,web,2025-01-28,0,2025-01
136,C00001,add_to_cart,P0055,2025-01-05,app,2025-01-05,0,2025-01
137,C00001,email_open,P0022,2025-02-06,email,2025-02-06,0,2025-02
138,C00001,view,P0111,2025-02-19,web,2025-02-19,0,2025-02
139,C00001,view,P0043,2025-02-13,app,2025-02-13,0,2025-02
140,C00001,email_open,,2025-02-01,email,2025-02-01,0,2025-02
141,C00001,view,P0007,2025-02-13,web,2025-02-13,0,2025-02
142,C00001,click,,2025-02-26,app,2025-02-26,0,2025-02
143,C00001,view,P0007,2025-02-21,web,2025-02-21,0,2025-02
144,C00001,view,P0120,2025-02-23,web,2025-02-23,0,2025-02
145,C00001,add_to_cart,P0116,2025-02-09,web,2025-02-09,0,2025-02
146,C00001,view,,2025-02-18,app,2025-02-18,0,2025-02
147,C00001,view,P0035,2025-03-19,app,2025-03-19,0,2025-03
148,C00001,add_to_cart,P0087,2025-03-22,app,2025-03-22,0,2025-03
149,C00001,email_open,P0041,2025-03-17,email,2025-03-17,0,2025-03
150,C00001,view,,2025-03-15,web,2025-03-15,0,2025-03
151,C00001,add_to_cart,P0116,2025-03-22,app,2025-03-22,0,2025-03
152,C00001,view,P0003,2025-03-07,web,2025-03-07,0,2025-03
153,C00001,add_to_cart,P0058,2025-03-10,web,2025-03-10,0,2025-03
154,C00001,click,P0018,2025-03-20,web,2025-03-20,0,2025-03
155,C00001,add_to_cart,P0066,2025-03-03,web,2025-03-03,0,2025-03
156,C00001,view,P0116,2025-03-08,web,2025-03-08,0,2025-03
157,C00001,add_to_cart,P0106,2025-03-31,app,2025-03-31,0,2025-03
158,C00001,click,P0117,2025-03-19,web,2025-03-19,0,2025-03
159,C00001,view,P0081,2025-04-12,web,2025-04-12,0,2025-04
160,C00001,click,,2025-04-26,web,2025-04-26,0,2025-04
161,C00001,view,P0115,2025-04-29,web,2025-04-29,0,2025-04
162,C00001,click,P0101,2025-04-16,web,2025-04-16,0,2025-04
163,C00001,add_to_cart,,2025-04-16,web,2025-04-16,0,2025-04
164,C00001,view,P0118,2025-04-05,web,2025-04-05,0,2025-04
165,C00001,click,,2025-04-09,web,2025-04-09,0,2025-04
166,C00001,click,P0039,2025-04-20,web,2025-04-20,0,2025-04
167,C00001,view,,2025-04-24,web,2025-04-24,0,2025-04
168,C00001,view,P0025,2025-04-26,web,2025-04-26,0,2025-04
169,C00001,click,P0014,2025-04-19,app,2025-04-19,0,2025-04
170,C00001,add_to_cart,P0016,2025-05-20,app,2025-05-20,0,2025-05
171,C00001,email_open,,2025-05-10,email,2025-05-10,0,2025-05
172,C00001,view,P0083,2025-05-14,web,2025-05-14,0,2025-05
173,C00001,email_open,,2025-05-11,email,2025-05-11,0,2025-05
174,C00001,view,P0028,2025-05-23,app,2025-05-23,0,2025-05
175,C00001,view,P0005,2025-05-13,app,2025-05-13,0,2025-05
176,C00001,click,P0018,2025-05-11,app,2025-05-11,0,2025-05
177,C00001,view,,2025-05-12,web,2025-05-12,0,2025-05
178,C00001,click,,2025-05-05,web,2025-05-05,0,2025-05
179,C00001,view,P0075,2025-05-24,web,2025-05-24,0,2025-05
180,C00001,view,P0066,2025-05-30,web,2025-05-30,0,2025-05
181,C00001,click,P0010,2025-05-19,app,2025-05-19,0,2025-05
182,C00001,add_to_cart,,2025-05-07,web,2025-05-07,0,2025-05
183,C00001,click,,2025-05-11,web,2025-05-11,0,2025-05
184,C00001,view,,2025-05-11,app,2025-05-11,0,2025-05
185,C00001,add_to_cart,,2025-05-15,web,2025-05-15,0,2025-05
186,C00001,view,P0038,2025-06-06,web,2025-06-06,0,2025-06
187,C00001,email_open,P0021,2025-06-29,email,2025-06-29,0,2025-06
188,C00001,click,P0065,2025-06-07,app,2025-06-07,0,2025-06
189,C00001,view,,2025-06-16,web,2025-06-16,0,2025-06
190,C00001,click,P0083,2025-06-30,web,2025-06-30,0,2025-06
191,C00001,add_to_cart,,2025-06-19,app,2025-06-19,0,2025-06
192,C00001,view,P0119,2025-06-13,app,2025-06-13,0,2025-06
193,C00001,view,,2025-06-05,web,2025-06-05,0,2025-06
194,C00001,view,P0064,2025-06-29,web,2025-06-29,0,2025-06
195,C00001,click,,2025-06-26,app,2025-06-26,0,2025-06
196,C00001,click,P0075,2025-06-05,web,2025-06-05,0,2025-06
197,C00001,click,P0070,2025-06-14,app,2025-06-14,0,2025-06
198,C00001,email_open,P0003,2025-06-30,email,2025-06-30,0,2025-06
199,C00001,view,P0005,2025-06-02,app,2025-06-02,0,2025-06
200,C00001,add_to_cart,,2025-06-22,web,2025-06-22,0,2025-06
201,C00001,view,,2025-07-17,app,2025-07-17,0,2025-07
202,C00001,email_open,P0048,2025-07-25,email,2025-07-25,0,2025-07
203,C00001,email_open,P0008,2025-07-31,email,2025-07-31,0,2025-07
204,C00001,view,P0014,2025-07-04,web,2025-07-04,0,2025-07
205,C00001,email_open,P0108,2025-07-17,email,2025-07-17,0,2025-07
206,C00001,view,,2025-07-19,web,2025-07-19,0,2025-07
207,C00001,view,P0047,2025-07-28,web,2025-07-28,0,2025-07
208,C00001,add_to_cart,P0045,2025-07-12,web,2025-07-12,0,2025-07
209,C00001,email_open,,2025-07-19,email,2025-07-19,0,2025-07
210,C00001,view,P0115,2025-07-21,app,2025-07-21,0,2025-07
211,C00001,view,,2025-07-08,app,2025-07-08,0,2025-07
212,C00001,view,P0059,2025-07-24,web,2025-07-24,0,2025-07
213,C00001,click,P0013,2025-07-18,app,2025-07-18,0,2025-07
214,C00001,click,P0095,2025-07-11,web,2025-07-11,0,2025-07
215,C00001,view,,2025-08-02,web,2025-08-02,0,2025-08
216,C00001,view,,2025-08-26,web,2025-08-26,0,2025-08
217,C00001,add_to_cart,,2025-08-17,web,2025-08-17,0,2025-08
218,C00001,click,,2025-08-30,web,2025-08-30,0,2025-08
219,C00001,view,,2025-08-09,web,2025-08-09,0,2025-08
220,C00001,view,P0032,2025-08-01,web,2025-08-01,0,2025-08
221,C00001,email_open,P0106,2025-08-23,email,2025-08-23,0,2025-08
222,C00001,email_open,,2025-08-19,email,2025-08-19,0,2025-08
223,C00001,view,P0060,2025-09-21,web,2025-09-21,0,2025-09
224,C00001,view,P0057,2025-09-22,web,2025-09-22,0,2025-09
225,C00001,view,P0019,2025-09-12,app,2025-09-12,0,2025-09
226,C00001,view,P0114,2025-09-03,web,2025-09-03,0,2025-09
227,C00001,view,P0081,2025-09-13,web,2025-09-13,0,2025-09
228,C00001,view,P0115,2025-09-13,web,2025-09-13,0,2025-09
229,C00001,click,P0053,2025-09-18,web,2025-09-18,0,2025-09
230,C00001,click,P0100,2025-09-07,web,2025-09-07,0,2025-09
231,C00001,email_open,P0096,2025-09-03,email,2025-09-03,0,2025-09
232,C00001,view,,2025-09-21,app,2025-09-21,0,2025-09
233,C00001,view,P0087,2025-09-03,app,2025-09-03,0,2025-09
234,C00001,view,P0045,2025-09-04,web,2025-09-04,0,2025-09
235,C00001,add_to_cart,,2025-09-08,web,2025-09-08,0,2025-09
236,C00001,view,P0115,2025-09-23,web,2025-09-23,0,2025-09
237,C00001,click,P0110,2025-09-07,app,2025-09-07,0,2025-09
238,C00001,click,,2025-09-08,web,2025-09-08,0,2025-09
239,C00001,view,P0039,2025-09-10,app,2025-09-10,0,2025-09
240,C00001,view,P0108,2025-09-12,web,2025-09-12,0,2025-09
241,C00001,view,P0082,2025-09-20,app,2025-09-20,0,2025-09
242,C00001,view,P0031,2025-10-24,app,2025-10-24,0,2025-10
243,C00001,click,P0086,2025-10-01,app,2025-10-01,0,2025-10
244,C00001,view,P0078,2025-10-29,web,2025-10-29,0,2025-10
245,C00001,view,,2025-10-24,web,2025-10-24,0,2025-10
246,C00001,view,,2025-10-02,web,2025-10-02,0,2025-10
247,C00001,view,P0080,2025-10-30,web,2025-10-30,0,2025-10
248,C00001,add_to_cart,,2025-10-04,web,2025-10-04,0,2025-10
249,C00001,view,P0020,2025-10-05,web,2025-10-05,0,2025-10
250,C00001,view,,2025-10-08,web,2025-10-08,0,2025-10
251,C00001,email_open,P0058,2025-10-12,email,2025-10-12,0,2025-10
252,C00001,click,P0064,2025-10-26,web,2025-10-26,0,2025-10
253,C00001,click,P0105,2025-10-25,app,2025-10-25,0,2025-10
254,C00001,add_to_cart,P0028,2025-10-01,web,2025-10-01,0,2025-10
255,C00001,view,P0071,2025-10-02,app,2025-10-02,0,2025-10
256,C00001,view,P0036,2025-10-22,web,2025-10-22,0,2025-10
257,C00001,email_open,P0107,2025-10-05,email,2025-10-05,0,2025-10
258,C00001,add_to_cart,P0092,2025-10-27,app,2025-10-27,0,2025-10
259,C00001,view,P0025,2025-10-28,app,2025-10-28,0,2025-10
260,C00001,click,P0062,2025-11-27,web,2025-11-27,0,2025-11
261,C00001,email_open,P0048,2025-11-16,email,2025-11-16,0,2025-11
262,C00001,add_to_cart,P0048,2025-11-14,web,2025-11-14,0,2025-11
263,C00001,click,,2025-11-29,web,2025-11-29,0,2025-11
264,C00001,email_open,P0017,2025-11-29,email,2025-11-29,0,2025-11
265,C00001,click,P0053,2025-11-15,app,2025-11-15,0,2025-11
266,C00001,email_open,,2025-11-16,email,2025-11-16,0,2025-11
267,C00001,view,P0104,2025-11-23,web,2025-11-23,0,2025-11
268,C00001,add_to_cart,P0081,2025-11-18,web,2025-11-18,0,2025-11
269,C00001,add_to_cart,P0117,2025-11-16,web,2025-11-16,0,2025-11
270,C00001,add_to_cart,P0028,2025-11-30,web,2025-11-30,0,2025-11
271,C00001,add_to_cart,,2025-11-08,app,2025-11-08,0,2025-11
272,C00001,view,P0069,2025-11-28,web,2025-11-28,0,2025-11
273,C00001,click,P0107,2025-11-26,web,2025-11-26,0,2025-11
274,C00001,add_to_cart,,2025-11-29,web,2025-11-29,0,2025-11
275,C00001,email_open,P0079,2025-11-07,email,2025-11-07,0,2025-11
276,C00001,view,P0094,2025-11-19,web,2025-11-19,0,2025-11
277,C00001,view,P0090,2025-11-30,web,2025-11-30,0,2025-11
278,C00001,click,P0065,2025-11-27,app,2025-11-27,0,2025-11
279,C00001,add_to_cart,,2025-11-20,web,2025-11-20,0,2025-11
280,C00001,click,P0064,2025-12-11,app,2025-12-11,0,2025-12
281,C00001,add_to_cart,P0087,2025-12-05,web,2025-12-05,0,2025-12
282,C00001,add_to_cart,P0058,2025-12-07,web,2025-12-07,0,2025-12
283,C00001,view,P0067,2025-12-26,web,2025-12-26,0,2025-12
284,C00001,click,P0113,2025-12-12,web,2025-12-12,0,2025-12
285,C00001,add_to_cart,P0023,2025-12-07,app,2025-12-07,0,2025-12
286,C00001,click,P0076,2025-12-16,web,2025-12-16,0,2025-12
287,C00001,view,,2025-12-14,web,2025-12-14,0,2025-12
288,C00001,view,P0079,2025-12-27,web,2025-12-27,0,2025-12
289,C00001,add_to_cart,P0035,2025-12-15,web,2025-12-15,0,2025-12
290,C00001,click,P0013,2026-01-07,web,2026-01-07,0,2026-01
291,C00001,view,,2026-01-19,web,2026-01-19,0,2026-01
292,C00001,view,,2026-01-04,web,2026-01-04,0,2026-01
293,C00001,click,P0035,2026-01-22,web,2026-01-22,0,2026-01
294,C00001,view,P0082,2026-01-09,app,2026-01-09,0,2026-01
295,C00001,view,,2026-01-05,web,2026-01-05,0,2026-01
296,C00001,click,P0070,2026-01-25,web,2026-01-25,0,2026-01
297,C00001,view,,2026-01-08,web,2026-01-08,0,2026-01
298,C00001,view,P0098,2026-01-28,web,2026-01-28,0,2026-01
299,C00001,view,,2026-01-31,web,2026-01-31,0,2026-01
300,C00001,email_open,,2026-01-17,email,2026-01-17,0,2026-01
301,C00001,view,P0037,2026-01-22,app,2026-01-22,0,2026-01
302,C00001,click,P0074,2026-01-07,web,2026-01-07,0,2026-01
303,C00001,click,P0109,2026-01-23,web,2026-01-23,0,2026-01
304,C00001,click,P0084,2026-01-31,web,2026-01-31,0,2026-01
305,C00001,add_to_cart,,2026-01-31,app,2026-01-31,0,2026-01
306,C00001,view,P0011,2026-01-27,web,2026-01-27,0,2026-01
307,C00001,view,P0089,2026-02-28,web,2026-02-28,0,2026-02
308,C00001,click,P0037,2026-02-23,web,2026-02-23,0,2026-02
309,C00001,click,,2026-02-04,app,2026-02-04,0,2026-02
310,C00001,click,P0007,2026-02-15,web,2026-02-15,0,2026-02
311,C00001,add_to_cart,,2026-02-03,app,2026-02-03,0,2026-02
312,C00001,view,P0120,2026-02-17,web,2026-02-17,0,2026-02
313,C00001,add_to_cart,P0062,2026-02-22,web,2026-02-22,0,2026-02
314,C00001,view,P0061,2026-02-11,web,2026-02-11,0,2026-02
315,C00001,email_open,,2026-02-02,email,2026-02-02,0,2026-02
316,C00001,email_open,P0018,2026-02-08,email,2026-02-08,0,2026-02
317,C00001,view,P0086,2026-02-15,web,2026-02-15,0,2026-02
318,C00001,view,P0052,2026-02-20,web,2026-02-20,0,2026-02
319,C00001,view,P0041,2026-02-01,web,2026-02-01,0,2026-02
320,C00001,view,P0018,2026-02-17,web,2026-02-17,0,2026-02
321,C00001,view,,2026-02-15,app,2026-02-15,0,2026-02
322,C00001,add_to_cart,,2026-02-26,web,2026-02-26,0,2026-02
323,C00001,click,,2026-02-27,web,2026-02-27,0,2026-02
324,C00001,view,P0073,2026-02-14,web,2026-02-14,0,2026-02
325,C00001,view,P0005,2026-02-21,web,2026-02-21,0,2026-02
326,C00001,view,P0044,2026-02-07,app,2026-02-07,0,2026-02
327,C00001,click,P0067,2026-03-22,web,2026-03-22,0,2026-03
328,C00001,add_to_cart,P0087,2026-03-09,web,2026-03-09,0,2026-03
329,C00001,add_to_cart,P0036,2026-03-24,web,2026-03-24,0,2026-03
330,C00001,add_to_cart,P0070,2026-03-05,web,2026-03-05,0,2026-03
331,C00001,view,,2026-03-05,app,2026-03-05,0,2026-03
332,C00001,add_to_cart,P0100,2026-03-10,app,2026-03-10,0,2026-03
333,C00001,click,P0017,2026-03-04,web,2026-03-04,0,2026-03
334,C00001,view,P0102,2026-03-23,web,2026-03-23,0,2026-03
335,C00001,view,,2026-03-23,app,2026-03-23,0,2026-03
336,C00002,view,P0120,2025-03-12,web,2025-03-12,0,2025-03
337,C00002,view,,2025-03-31,web,2025-03-31,0,2025-03
338,C00002,view,,2025-03-17,web,2025-03-17,0,2025-03
339,C00002,click,,2025-03-16,web,2025-03-16,0,2025-03
340,C00002,click,P0113,2025-03-28,web,2025-03-28,0,2025-03
341,C00002,add_to_cart,P0100,2025-03-28,web,2025-03-28,0,2025-03
342,C00002,add_to_cart,P0001,2025-03-22,web,2025-03-22,0,2025-03
343,C00002,view,,2025-03-27,app,2025-03-27,0,2025-03
344,C00002,add_to_cart,P0035,2025-03-20,app,2025-03-20,0,2025-03
345,C00002,click,,2025-03-16,web,2025-03-16,0,2025-03
346,C00002,view,P0042,2025-03-27,app,2025-03-27,0,2025-03
347,C00002,view,P0060,2025-03-13,web,2025-03-13,0,2025-03
348,C00002,add_to_cart,P0097,2025-03-29,app,2025-03-29,0,2025-03
349,C00002,view,P0014,2025-03-17,app,2025-03-17,0,2025-03
350,C00002,view,,2025-03-29,web,2025-03-29,0,2025-03
351,C00002,view,P0048,2025-03-20,web,2025-03-20,0,2025-03
352,C00002,click,P0055,2025-03-14,app,2025-03-14,0,2025-03
353,C00002,view,P0008,2025-03-28,web,2025-03-28,0,2025-03
354,C00002,view,P0067,2025-03-30,app,2025-03-30,0,2025-03
355,C00002,click,P0058,2025-03-14,web,2025-03-14,0,2025-03
356,C00002,click,P0031,2025-03-25,web,2025-03-25,0,2025-03
357,C00002,email_open,,2025-03-26,email,2025-03-26,0,2025-03
358,C00002,email_open,P0076,2025-03-24,email,2025-03-24,0,2025-03
359,C00002,view,P0042,2025-03-23,web,2025-03-23,0,2025-03
360,C00002,view,P0057,2025-03-25,app,2025-03-25,0,2025-03
361,C00002,click,P0094,2025-03-11,web,2025-03-11,0,2025-03
362,C00002,view,P0057,2025-03-14,web,2025-03-14,0,2025-03
363,C00002,click,P0098,2025-04-03,web,2025-04-03,0,2025-04
364,C00002,view,,2025-04-15,web,2025-04-15,0,2025-04
365,C00002,add_to_cart,P0078,2025-04-16,web,2025-04-16,0,2025-04
366,C00002,view,P0006,2025-04-21,web,2025-04-21,0,2025-04
367,C00002,add_to_cart,,2025-04-28,web,2025-04-28,0,2025-04
368,C00002,view,,2025-04-22,web,2025-04-22,0,2025-04
369,C00002,add_to_cart,P0009,2025-04-23,web,2025-04-23,0,2025-04
370,C00002,email_open,P0021,2025-04-04,email,2025-04-04,0,2025-04
371,C00002,view,P0039,2025-04-09,app,2025-04-09,0,2025-04
372,C00002,view,P0088,2025-04-03,web,2025-04-03,0,2025-04
373,C00002,click,P0059,2025-04-15,app,2025-04-15,0,2025-04
374,C00002,click,P0112,2025-04-09,app,2025-04-09,0,2025-04
375,C00002,view,P0110,2025-04-24,web,2025-04-24,0,2025-04
376,C00002,view,P0015,2025-04-30,web,2025-04-30,0,2025-04
377,C00002,view,P0016,2025-04-20,web,2025-04-20,0,2025-04
378,C00002,email_open,P0027,2025-04-06,email,2025-04-06,0,2025-04
379,C00002,add_to_cart,P0110,2025-04-18,web,2025-04-18,0,2025-04
380,C00002,click,P0098,2025-04-17,web,2025-04-17,0,2025-04
381,C00002,view,P0026,2025-04-05,app,2025-04-05,0,2025-04
382,C00002,click,,2025-04-30,web,2025-04-30,0,2025-04
383,C00002,view,P0028,2025-04-13,app,2025-04-13,0,2025-04
384,C00002,view,,2025-04-16,web,2025-04-16,0,2025-04
385,C00002,add_to_cart,P0082,2025-04-25,web,2025-04-25,0,2025-04
386,C00002,view,,2025-04-05,web,2025-04-05,0,2025-04
387,C00002,view,P0044,2025-04-09,web,2025-04-09,0,2025-04
388,C00002,click,P0093,2025-04-23,web,2025-04-23,0,2025-04
389,C00002,view,P0081,2025-04-13,web,2025-04-13,0,2025-04
390,C00002,click,P0019,2025-04-25,app,2025-04-25,0,2025-04
391,C00002,view,P0077,2025-04-26,app,2025-04-26,0,2025-04
392,C00002,add_to_cart,,2025-04-06,web,2025-04-06,0,2025-04
393,C00002,add_to_cart,P0019,2025-04-24,web,2025-04-24,0,2025-04
394,C00002,click,P0078,2025-04-28,web,2025-04-28,0,2025-04
