product_id,category,price,cost,launch_date,gross_margin,margin_percentage
P0038,sports,3819,2381.7,2025-03-05,1437.3000000000002,37.63550667714062
P0039,clothing,4937,3146.43,2025-02-20,1790.5700000000002,36.268381608264136
P0040,home,7539,5263.47,2025-10-18,2275.5299999999997,30.18344608038201
P0041,clothing,3073,2000.81,2025-09-29,1072.19,34.89066059225513
P0042,sports,1953,1545.49,2026-01-28,407.51,20.865847414234512
P0043,beauty,1946,1256.97,2025-12-10,689.03,35.40750256937307
P0044,clothing,1799,1313.42,2025-08-27,485.5799999999999,26.991662034463587
P0045,clothing,3767,2976.28,2025-04-25,790.7199999999998,20.990708786833018
P0046,electronics,37838,24884.77,2024-12-03,12953.23,34.23338971404408
P0047,beauty,1018,646.1,2025-03-16,371.9,36.53241650294695
P0048,beauty,2191,1615.32,2024-01-19,575.6800000000001,26.274760383386585
P0049,sports,2611,1947.98,2025-10-24,663.02,25.393335886633473
P0050,home,14239,9771.85,2024-06-06,4467.15,31.372638527986513
P0051,home,1000,676.09,2023-08-11,323.90999999999997,32.391
P0052,clothing,2681,2017.99,2024-05-18,663.01,24.72995151063036
P0053,home,11969,8139.89,2025-04-04,3829.1099999999997,31.991895730637477
P0054,clothing,1408,1114.12,2023-11-21,293.8800000000001,20.872159090909097
P0055,beauty,1930,1375.22,2024-03-08,554.78,28.745077720207252
P0056,electronics,33217,25227.08,2026-01-07,7989.919999999998,24.053707438961972
P0057,electronics,19313,14728.09,2025-08-13,4584.91,23.740019675865998
P0058,beauty,450,271.26,2025-04-23,178.74,39.72
P0059,sports,2027,1424.76,2024-09-03,602.24,29.710902812037492
P0060,home,11069,8729.57,2025-11-05,2339.4300000000003,21.134971542144733
P0061,beauty,2770,2092.43,2026-03-24,677.5700000000002,24.461010830324916
P0062,beauty,2148,1666.74,2024-01-15,481.26,22.405027932960895
P0063,clothing,3469,2115.78,2024-02-04,1353.2199999999998,39.00893629287979
P0064,electronics,26494,19782.38,2025-12-09,6711.619999999999,25.332603608364153
P0065,sports,4389,3419.93,2025-07-26,969.0700000000002,22.07951697425382
P0066,sports,2073,1544.51,2025-04-09,528.49,25.493970091654607
P0067,clothing,2745,1951.06,2024-12-26,793.94,28.923132969034608
P0068,electronics,40708,28016.44,2025-03-05,12691.560000000001,31.177065932986146
P0069,sports,5639,3733.94,2025-11-26,1905.06,33.78364958325944
P0070,beauty,2480,1626.46,2024-07-27,853.54,34.416935483870965
P0071,electronics,30313,19066.81,2026-03-19,11246.189999999999,37.10022102728202
P0072,electronics,42315,28895.23,2024-09-05,13419.77,31.713978494623657
P0073,sports,4368,2965.86,2025-05-28,1402.1399999999999,32.10027472527472
P0074,electronics,38139,24492.82,2023-12-03,13646.18,35.78012008705001
P0075,clothing,3023,1879.74,2023-10-15,1143.26,37.818723122725764
P0076,home,6650,4583.13,2024-08-12,2066.87,31.080751879699246
P0077,electronics,17868,12726.29,2024-04-17,5141.709999999999,28.776080143272885
P0078,electronics,30202,22686.64,2025-07-20,7515.360000000001,24.883650089398053
P0079,clothing,4936,3101.81,2023-11-14,1834.19,37.15944084278768
P0080,clothing,2146,1635.83,2024-09-22,510.1700000000001,23.773066169617895
P0081,beauty,2835,1809.61,2024-08-09,1025.39,36.16895943562611
P0082,home,6509,4062.84,2025-07-15,2446.16,37.58119526809033
P0083,clothing,3718,2606.37,2023-08-08,1111.63,29.898601398601404
P0084,clothing,4650,3160.51,2025-11-20,1489.4899999999998,32.03204301075268
P0085,electronics,9976,7855.21,2025-02-15,2120.79,21.25892141138733
P0086,electronics,41602,27461.49,2025-11-17,14140.509999999998,33.98997644344022
P0087,beauty,1522,948.38,2025-07-27,573.62,37.68856767411301
P0088,electronics,35723,26328.63,2024-06-12,9394.369999999999,26.297819332082966
P0089,clothing,1912,1215.24,2024-10-30,696.76,36.44142259414226
P0090,beauty,1754,1055.16,2025-04-09,698.8399999999999,39.842645381984035
P0091,clothing,4994,3514.97,2024-12-06,1479.0300000000002,29.61613936724069
P0092,clothing,803,626.75,2024-07-26,176.25,21.948941469489412
P0093,sports,9095,7077.33,2025-08-07,2017.67,22.184387025838372
P0094,sports,8333,6236.98,2024-12-30,2096.0200000000004,25.153246129845197
P0095,sports,5462,3685.28,2025-11-09,1776.7199999999998,32.528744049798604
P0096,home,3723,2391.41,2026-01-07,1331.5900000000001,35.7665860864894
P0097,sports,6138,4817.89,2025-06-02,1320.1099999999997,21.507168458781358
P0098,beauty,924,669.53,2023-07-15,254.47000000000003,27.540043290043293
P0099,clothing,1702,1171.28,2025-02-04,530.72,31.182138660399534
P0100,home,2523,1626.75,2023-11-19,896.25,35.52318668252081
P0101,electronics,25363,18710.14,2023-11-12,6652.860000000001,26.230572093206643
P0102,home,7244,4885.22,2024-08-06,2358.7799999999997,32.56184428492545
P0103,clothing,2740,1741.76,2024-03-11,998.24,36.43211678832117
P0104,clothing,3266,2321.6,2025-03-30,944.4000000000001,28.916105327617885
P0105,electronics,49247,35099.9,2024-07-04,14147.099999999999,28.726825999553267
P0106,clothing,1474,1013.75,2024-08-28,460.25,31.224559023066483
P0107,clothing,4638,3494.01,2024-08-31,1143.9899999999998,24.66558861578266
P0108,home,11701,8847.74,2025-08-27,2853.26,24.384753439876935
P0109,clothing,1820,1101.31,2026-01-05,718.69,39.488461538461536
P0110,beauty,2108,1524.42,2025-07-28,583.5799999999999,27.684060721062615
P0111,home,8250,5292.91,2025-12-20,2957.09,35.843515151515156
P0112,home,9448,6055.97,2026-03-24,3392.0299999999997,35.90209568162574
P0113,clothing,1249,752.74,2023-12-13,496.26,39.732586068855085
P0114,beauty,856,536.72,2023-10-07,319.28,37.299065420560744
P0115,home,7554,4806.68,2023-12-13,2747.3199999999997,36.36907598623246
P0116,sports,8497,5570.09,2025-10-16,2926.91,34.446392844533364
P0117,electronics,22643,14170.53,2025-09-07,8472.47,37.41761250717661
P0118,clothing,3405,2510.79,2024-06-29,894.21,26.261674008810576
P0119,electronics,45211,34210.66,2024-02-18,11000.339999999997,24.331114109398147
P0120,electronics,8402,5988.38,2023-10-28,2413.62,28.726731730540344
