transaction_id,customer_id,product_id,transaction_date,quantity,price,discount,launch_date,transaction_before_product_launch,gross_revenue,discount_amount,revenue,transaction_year,transaction_month
194,C00005,P0021,2025-12-21,2,22916,0.09,2025-08-18,0,45832,4124.88,41707.12,2025,2025-12
195,C00005,P0002,2026-01-15,2,1370,0.0,2024-11-20,0,2740,0.0,2740.0,2026,2026-01
196,C00005,P0112,2026-01-17,1,9448,0.03,2026-03-24,1,9448,283.44,9164.56,2026,2026-01
197,C00005,P0004,2026-01-15,3,16775,0.25,2025-03-03,0,50325,12581.25,37743.75,2026,2026-01
198,C00005,P0045,2026-02-03,1,3767,0.15,2025-04-25,0,3767,565.05,3201.95,2026,2026-02
199,C00005,P0105,2026-03-09,3,49247,0.04,2024-07-04,0,147741,5909.64,141831.36,2026,2026-03
200,C00005,P0065,2026-03-26,2,4389,0.05,2025-07-26,0,8778,438.90000000000003,8339.1,2026,2026-03
201,C00005,P0001,2026-03-10,2,4758,0.11,2025-12-12,0,9516,1046.76,8469.24,2026,2026-03
202,C00005,P0052,2026-03-27,3,2681,0.02,2024-05-18,0,8043,160.86,7882.14,2026,2026-03
203,C00006,P0017,2025-12-04,2,9441,0.04,2023-10-15,0,18882,755.28,18126.72,2025,2025-12
204,C00006,P0048,2025-12-07,2,2191,0.06,2024-01-19,0,4382,262.92,4119.08,2025,2025-12
205,C00006,P0015,2025-12-14,3,9498,0.05,2024-07-30,0,28494,1424.7,27069.3,2025,2025-12
206,C00006,P0023,2025-12-30,2,2907,0.05,2025-04-30,0,5814,290.7,5523.3,2025,2025-12
207,C00006,P0049,2025-12-10,2,2611,0.07,2025-10-24,0,5222,365.54,4856.46,2025,2025-12
208,C00006,P0059,2025-12-01,2,2027,0.11,2024-09-03,0,4054,445.94,3608.06,2025,2025-12
209,C00006,P0089,2026-01-21,1,1912,0.06,2024-10-30,0,1912,114.72,1797.28,2026,2026-01
210,C00006,P0050,2026-01-20,1,14239,0.19,2024-06-06,0,14239,2705.41,11533.59,2026,2026-01
211,C00006,P0062,2026-01-06,2,2148,0.04,2024-01-15,0,4296,171.84,4124.16,2026,2026-01
212,C00006,P0066,2026-01-02,2,2073,0.3,2025-04-09,0,4146,1243.8,2902.2,2026,2026-01
213,C00006,P0049,2026-01-09,3,2611,0.26,2025-10-24,0,7833,2036.5800000000002,5796.42,2026,2026-01
214,C00006,P0019,2026-02-18,2,4101,0.06,2025-08-02,0,8202,492.12,7709.88,2026,2026-02
215,C00006,P0036,2026-02-17,3,2526,0.01,2024-03-23,0,7578,75.78,7502.22,2026,2026-02
216,C00006,P0001,2026-02-17,2,4758,0.09,2025-12-12,0,9516,856.4399999999999,8659.56,2026,2026-02
217,C00006,P0116,2026-03-02,2,8497,0.0,2025-10-16,0,16994,0.0,16994.0,2026,2026-03
218,C00006,P0079,2026-03-20,3,4936,0.21,2023-11-14,0,14808,3109.68,11698.32,2026,2026-03
219,C00006,P0091,2026-03-24,2,4994,0.18,2024-12-06,0,9988,1797.84,8190.16,2026,2026-03
220,C00007,P0045,2024-01-25,3,3767,0.08,2025-04-25,1,11301,904.08,10396.92,2024,2024-01
221,C00007,P0036,2024-01-21,1,2526,0.03,2024-03-23,1,2526,75.78,2450.22,2024,2024-01
222,C00007,P0108,2024-02-08,1,11701,0.04,2025-08-27,1,11701,468.04,11232.96,2024,2024-02
223,C00007,P0019,2024-02-02,1,4101,0.07,2025-08-02,1,4101,287.07000000000005,3813.93,2024,2024-02
224,C00007,P0038,2024-02-26,3,3819,0.03,2025-03-05,1,11457,343.71,11113.29,2024,2024-02
225,C00007,P0091,2024-02-07,1,4994,0.09,2024-12-06,1,4994,449.46,4544.54,2024,2024-02
226,C00007,P0118,2024-02-11,1,3405,0.1,2024-06-29,1,3405,340.5,3064.5,2024,2024-02
227,C00007,P0080,2024-02-10,2,2146,0.04,2024-09-22,1,4292,171.68,4120.32,2024,2024-02
228,C00007,P0107,2024-03-26,2,4638,0.09,2024-08-31,1,9276,834.8399999999999,8441.16,2024,2024-03
229,C00007,P0093,2024-03-06,1,9095,0.04,2025-08-07,1,9095,363.8,8731.2,2024,2024-03
230,C00007,P0001,2024-03-14,3,4758,0.06,2025-12-12,1,14274,856.4399999999999,13417.56,2024,2024-03
231,C00007,P0102,2024-04-17,3,7244,0.01,2024-08-06,1,21732,217.32,21514.68,2024,2024-04
232,C00007,P0075,2024-04-22,2,3023,0.13,2023-10-15,0,6046,785.98,5260.02,2024,2024-04
233,C00007,P0064,2024-04-26,3,26494,0.02,2025-12-09,1,79482,1589.64,77892.36,2024,2024-04
234,C00007,P0106,2024-04-28,1,1474,0.06,2024-08-28,1,1474,88.44,1385.56,2024,2024-04
235,C00007,P0086,2024-04-16,2,41602,0.28,2025-11-17,1,83204,23297.120000000003,59906.88,2024,2024-04
236,C00007,P0025,2024-04-24,3,23637,0.05,2024-09-14,1,70911,3545.55,67365.45,2024,2024-04
237,C00007,P0052,2024-04-12,1,2681,0.09,2024-05-18,1,2681,241.29,2439.71,2024,2024-04
238,C00007,P0117,2024-04-21,2,22643,0.09,2025-09-07,1,45286,4075.74,41210.26,2024,2024-04
239,C00007,P0001,2024-04-30,3,4758,0.04,2025-12-12,1,14274,570.96,13703.04,2024,2024-04
240,C00007,P0042,2024-05-28,2,1953,0.08,2026-01-28,1,3906,312.48,3593.52,2024,2024-05
241,C00007,P0023,2024-05-26,3,2907,0.08,2025-04-30,1,8721,697.6800000000001,8023.32,2024,2024-05
242,C00007,P0117,2024-05-02,3,22643,0.04,2025-09-07,1,67929,2717.16,65211.84,2024,2024-05
243,C00007,P0064,2024-05-30,2,26494,0.06,2025-12-09,1,52988,3179.2799999999997,49808.72,2024,2024-05
244,C00007,P0093,2024-05-13,2,9095,0.11,2025-08-07,1,18190,2000.9,16189.1,2024,2024-05
245,C00007,P0056,2024-05-09,1,33217,0.04,2026-01-07,1,33217,1328.68,31888.32,2024,2024-05
246,C00007,P0004,2024-06-30,3,16775,0.04,2025-03-03,1,50325,2013.0,48312.0,2024,2024-06
