customer_id,signup_date,customer_segment,location,acquisition_channel,age,gender,signup_year,signup_month
C00150,2025-10-16,high,Chennai,organic,47,male,2025,2025-10
C00151,2024-06-19,low,Bhubaneswar,referral,20,female,2024,2024-06
C00152,2025-06-24,medium,Bhubaneswar,organic,23,other,2025,2025-06
C00153,2024-02-05,medium,Chennai,ads,39,male,2024,2024-02
C00154,2025-06-08,medium,Pune,ads,23,female,2025,2025-06
C00155,2024-06-08,medium,Delhi,ads,22,male,2024,2024-06
C00156,2025-11-29,high,Kolkata,organic,36,female,2025,2025-11
C00157,2024-08-30,high,Mumbai,organic,24,male,2024,2024-08
C00158,2024-03-26,low,Jaipur,organic,33,female,2024,2024-03
C00159,2025-07-31,medium,Bangalore,organic,28,female,2025,2025-07
C00160,2025-11-12,low,Delhi,organic,26,female,2025,2025-11
C00161,2025-07-10,low,Mumbai,referral,18,female,2025,2025-07
C00162,2025-07-27,medium,Delhi,organic,36,male,2025,2025-07
C00163,2025-10-07,medium,Bhubaneswar,ads,22,female,2025,2025-10
C00164,2024-01-28,medium,Kolkata,ads,33,male,2024,2024-01
C00165,2025-09-11,low,Bangalore,ads,29,male,2025,2025-09
C00166,2025-07-09,low,Delhi,referral,32,male,2025,2025-07
C00167,2024-12-05,medium,Mumbai,organic,33,female,2024,2024-12
C00168,2024-11-26,low,Bangalore,referral,36,male,2024,2024-11
C00169,2025-10-01,high,Bangalore,ads,27,female,2025,2025-10
C00170,2025-05-20,low,Hyderabad,referral,47,female,2025,2025-05
C00171,2024-12-13,low,Jaipur,ads,18,female,2024,2024-12
C00172,2025-04-17,high,Bhubaneswar,ads,32,female,2025,2025-04
C00173,2024-08-18,medium,Hyderabad,organic,43,male,2024,2024-08
C00174,2024-07-08,high,Mumbai,organic,39,male,2024,2024-07
C00175,2024-08-12,medium,Mumbai,ads,25,female,2024,2024-08
C00176,2025-01-19,low,Pune,referral,26,male,2025,2025-01
C00177,2025-01-11,medium,Delhi,ads,24,male,2025,2025-01
C00178,2024-10-09,high,Delhi,organic,40,male,2024,2024-10
C00179,2025-09-24,medium,Pune,referral,27,male,2025,2025-09
C00180,2025-09-19,low,Ahmedabad,ads,37,female,2025,2025-09
C00181,2024-09-15,medium,Chennai,organic,37,male,2024,2024-09
C00182,2024-12-24,medium,Delhi,organic,58,female,2024,2024-12
C00183,2025-12-10,high,Chennai,organic,38,male,2025,2025-12
C00184,2025-03-31,low,Delhi,referral,26,female,2025,2025-03
C00185,2025-02-14,low,Jaipur,referral,20,female,2025,2025-02
C00186,2025-10-10,medium,Ahmedabad,organic,32,female,2025,2025-10
C00187,2024-11-13,high,Kolkata,organic,33,male,2024,2024-11
C00188,2025-11-07,high,Ahmedabad,ads,18,male,2025,2025-11
C00189,2024-08-12,high,Mumbai,referral,27,female,2024,2024-08
C00190,2024-08-21,medium,Pune,ads,37,male,2024,2024-08
C00191,2025-11-14,low,Mumbai,ads,29,male,2025,2025-11
C00192,2025-10-25,medium,Kolkata,organic,44,female,2025,2025-10
C00193,2025-01-08,low,Hyderabad,ads,19,other,2025,2025-01
C00194,2025-11-02,medium,Mumbai,organic,41,female,2025,2025-11
C00195,2025-08-30,low,Mumbai,referral,44,other,2025,2025-08
C00196,2025-04-16,low,Mumbai,organic,44,female,2025,2025-04
C00197,2024-08-20,high,Bangalore,referral,19,female,2024,2024-08
C00198,2025-11-22,medium,Chennai,organic,38,male,2025,2025-11
C00199,2024-04-22,medium,Ahmedabad,referral,28,female,2024,2024-04
C00200,2025-05-11,high,Hyderabad,organic,20,female,2025,2025-05
C00201,2025-03-17,medium,Ahmedabad,ads,30,male,2025,2025-03
C00202,2025-07-17,medium,Jaipur,ads,25,female,2025,2025-07
C00203,2024-09-24,low,Chennai,organic,44,male,2024,2024-09
C00204,2025-05-24,medium,Hyderabad,referral,40,female,2025,2025-05
C00205,2025-01-20,low,Jaipur,ads,23,female,2025,2025-01
C00206,2025-01-21,medium,Bhubaneswar,ads,27,male,2025,2025-01
C00207,2024-04-22,low,Bangalore,referral,31,male,2024,2024-04
C00208,2025-09-04,medium,Mumbai,referral,34,other,2025,2025-09
C00209,2025-09-16,low,Bangalore,ads,45,female,2025,2025-09
C00210,2024-03-21,medium,Ahmedabad,referral,41,male,2024,2024-03
C00211,2025-11-29,medium,Hyderabad,organic,35,female,2025,2025-11
C00212,2024-04-22,medium,Jaipur,organic,32,male,2024,2024-04
C00213,2024-01-02,medium,Kolkata,ads,18,male,2024,2024-01
C00214,2025-10-03,high,Jaipur,organic,47,female,2025,2025-10
C00215,2024-08-07,high,Bangalore,ads,30,female,2024,2024-08
C00216,2025-07-19,high,Mumbai,organic,50,male,2025,2025-07
C00217,2024-08-12,low,Kolkata,ads,36,female,2024,2024-08
C00218,2025-01-19,medium,Ahmedabad,referral,55,male,2025,2025-01
C00219,2025-02-06,medium,Kolkata,ads,41,female,2025,2025-02
C00220,2025-09-29,low,Chennai,referral,20,male,2025,2025-09
C00221,2024-05-09,medium,Bhubaneswar,ads,28,male,2024,2024-05
C00222,2024-02-22,medium,Mumbai,organic,33,male,2024,2024-02
C00223,2025-11-14,high,Bangalore,organic,26,male,2025,2025-11
C00224,2025-12-30,low,Hyderabad,organic,31,male,2025,2025-12
C00225,2025-11-02,low,Pune,referral,21,male,2025,2025-11
C00226,2025-12-10,low,Kolkata,organic,35,female,2025,2025-12
C00227,2025-02-19,medium,Delhi,organic,37,male,2025,2025-02
C00228,2024-09-03,low,Pune,referral,24,male,2024,2024-09
C00229,2025-03-14,high,Ahmedabad,ads,54,female,2025,2025-03
C00230,2024-07-21,high,Delhi,organic,35,male,2024,2024-07
C00231,2024-07-02,high,Delhi,organic,26,female,2024,2024-07
C00232,2024-05-02,medium,Delhi,referral,18,male,2024,2024-05
C00233,2025-02-04,medium,Jaipur,referral,35,male,2025,2025-02
C00234,2024-10-20,medium,Pune,organic,32,male,2024,2024-10
C00235,2024-10-06,high,Ahmedabad,ads,42,male,2024,2024-10
C00236,2025-09-01,medium,Bangalore,referral,33,female,2025,2025-09
C00237,2024-07-16,low,Bhubaneswar,ads,23,male,2024,2024-07
C00238,2025-05-25,medium,Ahmedabad,referral,51,female,2025,2025-05
C00239,2024-05-23,low,Bangalore,ads,39,female,2024,2024-05
C00240,2025-08-31,medium,Bangalore,referral,32,male,2025,2025-08
C00241,2024-07-19,low,Delhi,organic,36,female,2024,2024-07
C00242,2024-05-03,medium,Mumbai,organic,39,male,2024,2024-05
C00243,2024-07-05,medium,Pune,ads,20,female,2024,2024-07
C00244,2024-11-21,medium,Bangalore,ads,36,female,2024,2024-11
C00245,2025-04-08,medium,Pune,referral,30,male,2025,2025-04
C00246,2024-12-14,low,Chennai,organic,40,female,2024,2024-12
C00247,2025-10-21,medium,Jaipur,referral,27,male,2025,2025-10
C00248,2025-02-06,medium,Bhubaneswar,organic,28,male,2025,2025-02
C00249,2024-12-11,low,Chennai,ads,51,male,2024,2024-12
C00250,2025-05-25,medium,Bangalore,organic,47,other,2025,2025-05
C00251,2024-05-26,medium,Ahmedabad,ads,18,male,2024,2024-05
C00252,2024-05-27,medium,Pune,ads,46,male,2024,2024-05
C00253,2025-12-11,medium,Chennai,organic,34,male,2025,2025-12
C00254,2025-05-03,medium,Pune,organic,27,male,2025,2025-05
C00255,2025-10-01,medium,Jaipur,ads,24,male,2025,2025-10
C00256,2025-07-04,low,Ahmedabad,referral,25,male,2025,2025-07
C00257,2024-12-03,medium,Chennai,organic,28,male,2024,2024-12
C00258,2025-10-02,medium,Pune,organic,23,male,2025,2025-10
C00259,2025-04-17,medium,Ahmedabad,organic,21,female,2025,2025-04
C00260,2024-05-30,low,Delhi,referral,24,female,2024,2024-05
C00261,2025-02-18,low,Kolkata,organic,38,male,2025,2025-02
C00262,2024-10-24,medium,Delhi,organic,35,female,2024,2024-10
C00263,2025-09-02,low,Bhubaneswar,ads,40,male,2025,2025-09
C00264,2024-09-19,medium,Bangalore,ads,34,female,2024,2024-09
C00265,2024-05-23,medium,Mumbai,organic,21,male,2024,2024-05
C00266,2024-12-11,high,Kolkata,referral,39,female,2024,2024-12
C00267,2025-09-15,medium,Bangalore,ads,24,female,2025,2025-09
C00268,2025-07-25,medium,Chennai,ads,41,female,2025,2025-07
C00269,2024-01-02,low,Bhubaneswar,organic,23,female,2024,2024-01
C00270,2024-10-30,medium,Jaipur,referral,28,female,2024,2024-10
C00271,2024-09-10,low,Bhubaneswar,organic,31,male,2024,2024-09
C00272,2025-10-13,medium,Pune,organic,41,female,2025,2025-10
C00273,2025-03-28,medium,Bhubaneswar,organic,36,male,2025,2025-03
C00274,2024-02-06,medium,Chennai,ads,35,male,2024,2024-02
C00275,2024-06-08,high,Jaipur,ads,53,male,2024,2024-06
C00276,2024-01-09,medium,Jaipur,ads,18,female,2024,2024-01
C00277,2024-08-20,high,Hyderabad,organic,24,male,2024,2024-08
C00278,2024-04-08,medium,Bhubaneswar,ads,24,female,2024,2024-04
C00279,2025-10-20,medium,Delhi,ads,18,female,2025,2025-10
C00280,2024-07-26,low,Hyderabad,organic,27,male,2024,2024-07
C00281,2024-05-10,medium,Hyderabad,referral,41,male,2024,2024-05
C00282,2025-02-07,high,Chennai,organic,29,other,2025,2025-02
C00283,2024-05-31,medium,Kolkata,ads,31,female,2024,2024-05
C00284,2024-02-23,low,Delhi,organic,18,male,2024,2024-02
C00285,2024-04-29,low,Jaipur,ads,27,male,2024,2024-04
C00286,2025-11-03,medium,Bhubaneswar,referral,30,male,2025,2025-11
C00287,2025-09-19,medium,Hyderabad,referral,41,male,2025,2025-09
C00288,2025-08-09,high,Bangalore,organic,18,male,2025,2025-08
C00289,2025-09-16,low,Bangalore,ads,30,female,2025,2025-09
C00290,2025-02-23,medium,Hyderabad,organic,45,female,2025,2025-02
C00291,2025-02-25,medium,Pune,referral,30,female,2025,2025-02
C00292,2024-04-13,medium,Bhubaneswar,ads,18,male,2024,2024-04
C00293,2024-09-10,high,Chennai,organic,47,male,2024,2024-09
C00294,2024-08-14,low,Jaipur,organic,42,female,2024,2024-08
C00295,2024-04-21,high,Hyderabad,referral,43,female,2024,2024-04
C00296,2025-05-24,medium,Delhi,ads,18,male,2025,2025-05
C00297,2025-04-17,medium,Hyderabad,organic,50,female,2025,2025-04
C00298,2024-04-08,low,Ahmedabad,organic,27,female,2024,2024-04
C00299,2024-06-01,low,Jaipur,organic,29,female,2024,2024-06
C00300,2024-12-03,medium,Kolkata,ads,27,female,2024,2024-12
C00301,2025-12-06,medium,Jaipur,referral,44,female,2025,2025-12
C00302,2024-06-11,low,Delhi,referral,33,male,2024,2024-06
C00303,2025-12-20,high,Ahmedabad,ads,39,female,2025,2025-12
C00304,2025-11-11,medium,Kolkata,referral,35,male,2025,2025-11
C00305,2024-06-09,medium,Mumbai,ads,34,male,2024,2024-06
C00306,2025-08-02,low,Delhi,organic,25,male,2025,2025-08
C00307,2025-02-01,medium,Bangalore,referral,53,male,2025,2025-02
C00308,2024-10-03,low,Pune,organic,20,other,2024,2024-10
C00309,2025-05-18,medium,Jaipur,organic,39,male,2025,2025-05
C00310,2025-01-26,medium,Mumbai,referral,38,female,2025,2025-01
C00311,2024-05-14,medium,Ahmedabad,organic,46,male,2024,2024-05
C00312,2024-07-13,medium,Mumbai,ads,48,male,2024,2024-07
C00313,2025-02-04,medium,Chennai,referral,33,female,2025,2025-02
C00314,2025-10-01,medium,Bhubaneswar,ads,40,male,2025,2025-10
C00315,2024-02-02,high,Jaipur,organic,52,female,2024,2024-02
C00316,2025-11-18,low,Bhubaneswar,organic,34,male,2025,2025-11
C00317,2025-04-04,low,Bangalore,organic,24,female,2025,2025-04
C00318,2025-04-14,medium,Mumbai,ads,31,male,2025,2025-04
C00319,2025-01-09,medium,Ahmedabad,ads,21,female,2025,2025-01
C00320,2024-01-22,high,Bangalore,ads,38,male,2024,2024-01
C00321,2025-10-31,medium,Bhubaneswar,ads,45,female,2025,2025-10
C00322,2024-02-07,low,Mumbai,ads,33,female,2024,2024-02
C00323,2024-08-17,high,Bangalore,ads,18,male,2024,2024-08
C00324,2024-12-30,high,Delhi,referral,45,male,2024,2024-12
C00325,2025-07-16,low,Hyderabad,organic,18,female,2025,2025-07
C00326,2025-03-13,medium,Pune,referral,19,female,2025,2025-03
C00327,2024-10-09,high,Kolkata,ads,33,male,2024,2024-10
C00328,2024-01-27,medium,Delhi,organic,37,female,2024,2024-01
C00329,2024-08-13,medium,Bangalore,organic,39,female,2024,2024-08
C00330,2024-10-03,medium,Ahmedabad,organic,34,female,2024,2024-10
C00331,2025-08-31,low,Chennai,ads,52,other,2025,2025-08
C00332,2024-10-10,low,Hyderabad,organic,35,female,2024,2024-10
C00333,2025-04-25,medium,Kolkata,referral,45,female,2025,2025-04
C00334,2025-03-28,low,Delhi,ads,42,female,2025,2025-03
C00335,2025-10-20,medium,Chennai,referral,22,male,2025,2025-10
C00336,2025-05-30,low,Chennai,organic,33,female,2025,2025-05
C00337,2025-06-30,medium,Chennai,organic,56,female,2025,2025-06
C00338,2024-07-10,low,Hyderabad,organic,29,female,2024,2024-07
C00339,2024-02-18,low,Mumbai,organic,28,male,2024,2024-02
C00340,2025-05-26,high,Delhi,referral,36,male,2025,2025-05
C00341,2024-01-17,low,Mumbai,organic,30,female,2024,2024-01
C00342,2024-06-20,low,Jaipur,ads,27,female,2024,2024-06
C00343,2024-08-07,low,Hyderabad,organic,30,male,2024,2024-08
C00344,2024-06-06,medium,Chennai,ads,49,male,2024,2024-06
C00345,2025-04-21,low,Chennai,referral,33,female,2025,2025-04
C00346,2024-02-15,low,Hyderabad,ads,21,female,2024,2024-02
C00347,2025-01-07,medium,Jaipur,ads,19,female,2025,2025-01
C00348,2025-06-01,low,Pune,organic,57,female,2025,2025-06
C00349,2024-04-08,high,Ahmedabad,referral,32,male,2024,2024-04
C00350,2024-02-06,high,Pune,ads,39,female,2024,2024-02
C00351,2024-10-06,medium,Mumbai,ads,27,female,2024,2024-10
C00352,2024-12-14,medium,Hyderabad,ads,38,female,2024,2024-12
C00353,2025-05-11,medium,Ahmedabad,referral,49,male,2025,2025-05
C00354,2024-10-28,high,Pune,ads,28,male,2024,2024-10
C00355,2024-06-29,low,Mumbai,ads,39,female,2024,2024-06
C00356,2025-08-29,high,Bangalore,ads,20,female,2025,2025-08
C00357,2024-04-08,high,Bhubaneswar,organic,55,female,2024,2024-04
C00358,2025-11-30,high,Ahmedabad,ads,37,female,2025,2025-11
C00359,2024-04-25,medium,Kolkata,ads,30,male,2024,2024-04
C00360,2024-07-09,low,Ahmedabad,ads,32,female,2024,2024-07
C00361,2024-09-09,medium,Mumbai,ads,29,female,2024,2024-09
C00362,2024-06-09,low,Chennai,organic,30,female,2024,2024-06
C00363,2024-09-12,high,Mumbai,ads,18,female,2024,2024-09
C00364,2024-11-18,medium,Delhi,referral,34,male,2024,2024-11
C00365,2024-05-07,medium,Chennai,referral,33,female,2024,2024-05
C00366,2024-01-18,medium,Mumbai,organic,39,male,2024,2024-01
C00367,2025-07-19,high,Pune,ads,29,other,2025,2025-07
C00368,2025-07-23,medium,Bhubaneswar,referral,27,female,2025,2025-07
C00369,2024-11-18,medium,Mumbai,ads,34,female,2024,2024-11
C00370,2025-11-16,low,Pune,ads,18,other,2025,2025-11
C00371,2025-09-17,medium,Kolkata,referral,36,male,2025,2025-09
C00372,2024-10-14,high,Delhi,ads,18,male,2024,2024-10
C00373,2025-10-24,medium,Bangalore,ads,46,female,2025,2025-10
C00374,2025-09-30,high,Delhi,organic,41,male,2025,2025-09
C00375,2024-06-03,low,Chennai,organic,25,male,2024,2024-06
C00376,2025-05-04,medium,Bhubaneswar,organic,41,female,2025,2025-05
C00377,2025-01-20,high,Delhi,referral,36,female,2025,2025-01
C00378,2024-04-13,low,Ahmedabad,ads,24,male,2024,2024-04
C00379,2025-01-27,medium,Bangalore,ads,18,male,2025,2025-01
C00380,2024-09-02,high,Chennai,referral,38,male,2024,2024-09
C00381,2024-06-24,medium,Ahmedabad,ads,27,female,2024,2024-06
C00382,2024-02-08,medium,Chennai,ads,45,male,2024,2024-02
C00383,2025-04-21,low,Ahmedabad,organic,35,female,2025,2025-04
C00384,2025-11-12,low,Jaipur,referral,28,female,2025,2025-11
C00385,2025-06-21,low,Bhubaneswar,organic,52,male,2025,2025-06
C00386,2025-02-11,medium,Pune,organic,40,male,2025,2025-02
C00387,2025-06-08,medium,Delhi,organic,18,female,2025,2025-06
C00388,2025-05-20,low,Kolkata,organic,30,male,2025,2025-05
C00389,2024-02-05,high,Ahmedabad,organic,21,female,2024,2024-02
C00390,2025-11-15,medium,Jaipur,ads,27,female,2025,2025-11
C00391,2024-01-20,medium,Bhubaneswar,organic,33,male,2024,2024-01
C00392,2024-11-16,high,Kolkata,ads,38,male,2024,2024-11
C00393,2025-05-26,medium,Delhi,organic,37,female,2025,2025-05
C00394,2025-02-03,low,Jaipur,organic,45,male,2025,2025-02
C00395,2025-10-15,low,Kolkata,ads,41,male,2025,2025-10
C00396,2025-04-15,high,Bangalore,referral,40,male,2025,2025-04
C00397,2024-05-22,high,Hyderabad,referral,37,female,2024,2024-05
C00398,2024-04-01,medium,Chennai,referral,47,female,2024,2024-04
C00399,2024-12-19,low,Chennai,ads,31,male,2024,2024-12
C00400,2025-12-27,high,Mumbai,ads,32,female,2025,2025-12
C00401,2024-02-20,low,Bangalore,ads,18,male,2024,2024-02
